Branch of activity (CNAE 2009);Polluting substances;period;Total
66: Activities auxiliary to financial services and insurance activities;NOx - Nitrogen oxides (tonnes of equivalent NO2);2019;3,006.4
66: Activities auxiliary to financial services and insurance activities;SOx - Sulphur oxides (tonnes of equivalent SO2);2019;315.5
66: Activities auxiliary to financial services and insurance activities;NH3 - Ammonia (tonnes);2019;1,463.1
66: Activities auxiliary to financial services and insurance activities;CO - Carbon monoxide (tonnes);2019;725.6
66: Activities auxiliary to financial services and insurance activities;NMVOC - Non-metallic volatile organic compounds (tonnes);2019;108,856.1
68: Real estate activities;CO2 - Carbon dioxide (thousands tonnes);2019;64,220.1
68: Real estate activities;CH4 - Methane (tonnes);2019;68,686.3
68: Real estate activities;N2O - Nitrous oxide (tonnes);2019;2,523.0
68: Real estate activities;PFC - Perfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;68.2
68: Real estate activities;HFC - Hydrogenfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;2,498.9
68: Real estate activities;SF6 - Sulphur hexaflouride (thousands of tonnes of equivalent CO2);2019;50.9
68: Real estate activities;PM2.5 - Particles with a diameter of  2.5 µm or less (tonnes);2019;74.5
68: Real estate activities;PM10 - Particles with a diameter of 10 µm or less (tonnes);2019;113.2
68: Real estate activities;NOx - Nitrogen oxides (tonnes of equivalent NO2);2019;90.6
68: Real estate activities;SOx - Sulphur oxides (tonnes of equivalent SO2);2019;124.3
68: Real estate activities;NH3 - Ammonia (tonnes);2019;65.4
68: Real estate activities;CO - Carbon monoxide (tonnes);2019;53.1
68: Real estate activities;NMVOC - Non-metallic volatile organic compounds (tonnes);2019;415.2
69-70: Legal and accounting activities activities of head offices management consultancy activities;CO2 - Carbon dioxide (thousands tonnes);2019;252.0
69-70: Legal and accounting activities activities of head offices management consultancy activities;CH4 - Methane (tonnes);2019;122.1
69-70: Legal and accounting activities activities of head offices management consultancy activities;N2O - Nitrous oxide (tonnes);2019;65.7
69-70: Legal and accounting activities activities of head offices management consultancy activities;PFC - Perfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;52.5
69-70: Legal and accounting activities activities of head offices management consultancy activities;HFC - Hydrogenfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;42.3
69-70: Legal and accounting activities activities of head offices management consultancy activities;SF6 - Sulphur hexaflouride (thousands of tonnes of equivalent CO2);2019;161.1
69-70: Legal and accounting activities activities of head offices management consultancy activities;PM2.5 - Particles with a diameter of  2.5 µm or less (tonnes);2019;33.5
69-70: Legal and accounting activities activities of head offices management consultancy activities;PM10 - Particles with a diameter of 10 µm or less (tonnes);2019;37.9
69-70: Legal and accounting activities activities of head offices management consultancy activities;NOx - Nitrogen oxides (tonnes of equivalent NO2);2019;275.7
69-70: Legal and accounting activities activities of head offices management consultancy activities;SOx - Sulphur oxides (tonnes of equivalent SO2);2019;15,509.3
69-70: Legal and accounting activities activities of head offices management consultancy activities;NH3 - Ammonia (tonnes);2019;965.4
69-70: Legal and accounting activities activities of head offices management consultancy activities;CO - Carbon monoxide (tonnes);2019;1,278.7
69-70: Legal and accounting activities activities of head offices management consultancy activities;NMVOC - Non-metallic volatile organic compounds (tonnes);2019;202.9
71: Architectural and engineering activities technical testing and analysis;CO2 - Carbon dioxide (thousands tonnes);2019;99.2
71: Architectural and engineering activities technical testing and analysis;CH4 - Methane (tonnes);2019;281.7
71: Architectural and engineering activities technical testing and analysis;N2O - Nitrous oxide (tonnes);2019;4,335.5
71: Architectural and engineering activities technical testing and analysis;PFC - Perfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;13.7
71: Architectural and engineering activities technical testing and analysis;HFC - Hydrogenfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;452.2
71: Architectural and engineering activities technical testing and analysis;SF6 - Sulphur hexaflouride (thousands of tonnes of equivalent CO2);2019;0.0
71: Architectural and engineering activities technical testing and analysis;PM2.5 - Particles with a diameter of  2.5 µm or less (tonnes);2019;702,590.3
71: Architectural and engineering activities technical testing and analysis;PM10 - Particles with a diameter of 10 µm or less (tonnes);2019;184,222.7
71: Architectural and engineering activities technical testing and analysis;NOx - Nitrogen oxides (tonnes of equivalent NO2);2019;886,813.1
71: Architectural and engineering activities technical testing and analysis;SOx - Sulphur oxides (tonnes of equivalent SO2);2019;2,879.0
71: Architectural and engineering activities technical testing and analysis;NH3 - Ammonia (tonnes);2019;48.0
71: Architectural and engineering activities technical testing and analysis;CO - Carbon monoxide (tonnes);2019;1,036.4
71: Architectural and engineering activities technical testing and analysis;NMVOC - Non-metallic volatile organic compounds (tonnes);2019;182.1
72: Scientific research and development;CO2 - Carbon dioxide (thousands tonnes);2019;2,038.5
72: Scientific research and development;CH4 - Methane (tonnes);2019;63.6
72: Scientific research and development;N2O - Nitrous oxide (tonnes);2019;174.4
72: Scientific research and development;PFC - Perfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;5,889.9
72: Scientific research and development;HFC - Hydrogenfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;12.9
72: Scientific research and development;SF6 - Sulphur hexaflouride (thousands of tonnes of equivalent CO2);2019;28,531.0
72: Scientific research and development;PM2.5 - Particles with a diameter of  2.5 µm or less (tonnes);2019;5,762.8
72: Scientific research and development;PM10 - Particles with a diameter of 10 µm or less (tonnes);2019;154.6
72: Scientific research and development;NOx - Nitrogen oxides (tonnes of equivalent NO2);2019;52.5
72: Scientific research and development;SOx - Sulphur oxides (tonnes of equivalent SO2);2019;25,943.1
72: Scientific research and development;NH3 - Ammonia (tonnes);2019;24,401.1
72: Scientific research and development;CO - Carbon monoxide (tonnes);2019;655.1
72: Scientific research and development;NMVOC - Non-metallic volatile organic compounds (tonnes);2019;3.7
73: Advertising and market research;CO2 - Carbon dioxide (thousands tonnes);2019;25.4
73: Advertising and market research;CH4 - Methane (tonnes);2019;32.4
73: Advertising and market research;N2O - Nitrous oxide (tonnes);2019;78.0
73: Advertising and market research;PFC - Perfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;23.9
73: Advertising and market research;HFC - Hydrogenfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;10.5
73: Advertising and market research;SF6 - Sulphur hexaflouride (thousands of tonnes of equivalent CO2);2019;21.8
73: Advertising and market research;PM2.5 - Particles with a diameter of  2.5 µm or less (tonnes);2019;31,056.1
73: Advertising and market research;PM10 - Particles with a diameter of 10 µm or less (tonnes);2019;34.7
73: Advertising and market research;NOx - Nitrogen oxides (tonnes of equivalent NO2);2019;450.1
73: Advertising and market research;SOx - Sulphur oxides (tonnes of equivalent SO2);2019;390.0
73: Advertising and market research;NH3 - Ammonia (tonnes);2019;148.4
73: Advertising and market research;CO - Carbon monoxide (tonnes);2019;747.4
73: Advertising and market research;NMVOC - Non-metallic volatile organic compounds (tonnes);2019;514.0
74-75: Other professional, scientific and technical activities veterinary activities;CO2 - Carbon dioxide (thousands tonnes);2019;109.7
74-75: Other professional, scientific and technical activities veterinary activities;CH4 - Methane (tonnes);2019;18,458.4
74-75: Other professional, scientific and technical activities veterinary activities;N2O - Nitrous oxide (tonnes);2019;3,797.7
74-75: Other professional, scientific and technical activities veterinary activities;PFC - Perfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;148.0
74-75: Other professional, scientific and technical activities veterinary activities;HFC - Hydrogenfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;25.3
74-75: Other professional, scientific and technical activities veterinary activities;SF6 - Sulphur hexaflouride (thousands of tonnes of equivalent CO2);2019;3,094.0
74-75: Other professional, scientific and technical activities veterinary activities;PM2.5 - Particles with a diameter of  2.5 µm or less (tonnes);2019;128.3
74-75: Other professional, scientific and technical activities veterinary activities;PM10 - Particles with a diameter of 10 µm or less (tonnes);2019;69.9
74-75: Other professional, scientific and technical activities veterinary activities;NOx - Nitrogen oxides (tonnes of equivalent NO2);2019;56.4
74-75: Other professional, scientific and technical activities veterinary activities;SOx - Sulphur oxides (tonnes of equivalent SO2);2019;48.4
74-75: Other professional, scientific and technical activities veterinary activities;NH3 - Ammonia (tonnes);2019;86.6
74-75: Other professional, scientific and technical activities veterinary activities;CO - Carbon monoxide (tonnes);2019;46.1
74-75: Other professional, scientific and technical activities veterinary activities;NMVOC - Non-metallic volatile organic compounds (tonnes);2019;26.1
77: Rental and leasing activities;CO2 - Carbon dioxide (thousands tonnes);2019;335.9
77: Rental and leasing activities;CH4 - Methane (tonnes);2019;158.2
77: Rental and leasing activities;N2O - Nitrous oxide (tonnes);2019;80.0
77: Rental and leasing activities;PFC - Perfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;40.5
77: Rental and leasing activities;HFC - Hydrogenfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;39.9
77: Rental and leasing activities;SF6 - Sulphur hexaflouride (thousands of tonnes of equivalent CO2);2019;31.2
77: Rental and leasing activities;PM2.5 - Particles with a diameter of  2.5 µm or less (tonnes);2019;72.3
77: Rental and leasing activities;PM10 - Particles with a diameter of 10 µm or less (tonnes);2019;16.4
77: Rental and leasing activities;NOx - Nitrogen oxides (tonnes of equivalent NO2);2019;20.2
77: Rental and leasing activities;SOx - Sulphur oxides (tonnes of equivalent SO2);2019;210.3
77: Rental and leasing activities;NH3 - Ammonia (tonnes);2019;1,180.6
77: Rental and leasing activities;CO - Carbon monoxide (tonnes);2019;325.4
77: Rental and leasing activities;NMVOC - Non-metallic volatile organic compounds (tonnes);2019;370.6
78: Employment activities;CO2 - Carbon dioxide (thousands tonnes);2019;188.2
78: Employment activities;CH4 - Methane (tonnes);2019;79.1
78: Employment activities;N2O - Nitrous oxide (tonnes);2019;236.2
78: Employment activities;PFC - Perfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;73.0
78: Employment activities;HFC - Hydrogenfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;10.1
78: Employment activities;SF6 - Sulphur hexaflouride (thousands of tonnes of equivalent CO2);2019;204.2
78: Employment activities;PM2.5 - Particles with a diameter of  2.5 µm or less (tonnes);2019;0.0
78: Employment activities;PM10 - Particles with a diameter of 10 µm or less (tonnes);2019;161,128.8
78: Employment activities;NOx - Nitrogen oxides (tonnes of equivalent NO2);2019;8,830.5
78: Employment activities;SOx - Sulphur oxides (tonnes of equivalent SO2);2019;169,959.3
78: Employment activities;NH3 - Ammonia (tonnes);2019;453,610.9
78: Employment activities;CO - Carbon monoxide (tonnes);2019;0.2
78: Employment activities;NMVOC - Non-metallic volatile organic compounds (tonnes);2019;3.6
79: Travel agency, tour operator and other reservation service and related activities;CO2 - Carbon dioxide (thousands tonnes);2019;142.4
79: Travel agency, tour operator and other reservation service and related activities;CH4 - Methane (tonnes);2019;808.8
79: Travel agency, tour operator and other reservation service and related activities;N2O - Nitrous oxide (tonnes);2019;62.5
79: Travel agency, tour operator and other reservation service and related activities;PFC - Perfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;165.1
79: Travel agency, tour operator and other reservation service and related activities;HFC - Hydrogenfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;257.0
79: Travel agency, tour operator and other reservation service and related activities;SF6 - Sulphur hexaflouride (thousands of tonnes of equivalent CO2);2019;11.2
79: Travel agency, tour operator and other reservation service and related activities;PM2.5 - Particles with a diameter of  2.5 µm or less (tonnes);2019;87.7
79: Travel agency, tour operator and other reservation service and related activities;PM10 - Particles with a diameter of 10 µm or less (tonnes);2019;1,115.0
79: Travel agency, tour operator and other reservation service and related activities;NOx - Nitrogen oxides (tonnes of equivalent NO2);2019;2.7
79: Travel agency, tour operator and other reservation service and related activities;SOx - Sulphur oxides (tonnes of equivalent SO2);2019;54.5
79: Travel agency, tour operator and other reservation service and related activities;NH3 - Ammonia (tonnes);2019;266.9
79: Travel agency, tour operator and other reservation service and related activities;CO - Carbon monoxide (tonnes);2019;33.5
79: Travel agency, tour operator and other reservation service and related activities;NMVOC - Non-metallic volatile organic compounds (tonnes);2019;5.0
80-82: Security and investigation activities services to buildings and landscape activities office administrative, office support and other business support activities;CO2 - Carbon dioxide (thousands tonnes);2019;3.8
80-82: Security and investigation activities services to buildings and landscape activities office administrative, office support and other business support activities;CH4 - Methane (tonnes);2019;25.5
80-82: Security and investigation activities services to buildings and landscape activities office administrative, office support and other business support activities;N2O - Nitrous oxide (tonnes);2019;31.5
80-82: Security and investigation activities services to buildings and landscape activities office administrative, office support and other business support activities;PFC - Perfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;78.6
80-82: Security and investigation activities services to buildings and landscape activities office administrative, office support and other business support activities;HFC - Hydrogenfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;23.4
80-82: Security and investigation activities services to buildings and landscape activities office administrative, office support and other business support activities;SF6 - Sulphur hexaflouride (thousands of tonnes of equivalent CO2);2019;10.5
80-82: Security and investigation activities services to buildings and landscape activities office administrative, office support and other business support activities;PM2.5 - Particles with a diameter of  2.5 µm or less (tonnes);2019;20.4
80-82: Security and investigation activities services to buildings and landscape activities office administrative, office support and other business support activities;PM10 - Particles with a diameter of 10 µm or less (tonnes);2019;1,319.4
80-82: Security and investigation activities services to buildings and landscape activities office administrative, office support and other business support activities;NOx - Nitrogen oxides (tonnes of equivalent NO2);2019;0.2
80-82: Security and investigation activities services to buildings and landscape activities office administrative, office support and other business support activities;SOx - Sulphur oxides (tonnes of equivalent SO2);2019;3,672.0
80-82: Security and investigation activities services to buildings and landscape activities office administrative, office support and other business support activities;NH3 - Ammonia (tonnes);2019;363.1
80-82: Security and investigation activities services to buildings and landscape activities office administrative, office support and other business support activities;CO - Carbon monoxide (tonnes);2019;0.6
80-82: Security and investigation activities services to buildings and landscape activities office administrative, office support and other business support activities;NMVOC - Non-metallic volatile organic compounds (tonnes);2019;0.8
84: Public administration and defence compulsory social security;CO2 - Carbon dioxide (thousands tonnes);2019;0.1
84: Public administration and defence compulsory social security;CH4 - Methane (tonnes);2019;282.0
84: Public administration and defence compulsory social security;N2O - Nitrous oxide (tonnes);2019;8.3
84: Public administration and defence compulsory social security;PFC - Perfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;7.4
84: Public administration and defence compulsory social security;HFC - Hydrogenfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;5.6
84: Public administration and defence compulsory social security;SF6 - Sulphur hexaflouride (thousands of tonnes of equivalent CO2);2019;0.1
84: Public administration and defence compulsory social security;PM2.5 - Particles with a diameter of  2.5 µm or less (tonnes);2019;0.3
84: Public administration and defence compulsory social security;PM10 - Particles with a diameter of 10 µm or less (tonnes);2019;0.0
84: Public administration and defence compulsory social security;NOx - Nitrogen oxides (tonnes of equivalent NO2);2019;0.1
84: Public administration and defence compulsory social security;SOx - Sulphur oxides (tonnes of equivalent SO2);2019;0.1
84: Public administration and defence compulsory social security;NH3 - Ammonia (tonnes);2019;0.0
84: Public administration and defence compulsory social security;CO - Carbon monoxide (tonnes);2019;0.1
84: Public administration and defence compulsory social security;NMVOC - Non-metallic volatile organic compounds (tonnes);2019;0.0
85: Education;CO2 - Carbon dioxide (thousands tonnes);2019;0.2
85: Education;CH4 - Methane (tonnes);2019;0.0
85: Education;N2O - Nitrous oxide (tonnes);2019;0.0
85: Education;PFC - Perfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;0.1
85: Education;HFC - Hydrogenfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;0.1
85: Education;SF6 - Sulphur hexaflouride (thousands of tonnes of equivalent CO2);2019;0.0
85: Education;PM2.5 - Particles with a diameter of  2.5 µm or less (tonnes);2019;0.0
85: Education;PM10 - Particles with a diameter of 10 µm or less (tonnes);2019;0.0
85: Education;NOx - Nitrogen oxides (tonnes of equivalent NO2);2019;0.0
85: Education;SOx - Sulphur oxides (tonnes of equivalent SO2);2019;0.1
85: Education;NH3 - Ammonia (tonnes);2019;0.0
85: Education;CO - Carbon monoxide (tonnes);2019;31.1
85: Education;NMVOC - Non-metallic volatile organic compounds (tonnes);2019;4.0
86: Human health activities;CO2 - Carbon dioxide (thousands tonnes);2019;2.0
86: Human health activities;CH4 - Methane (tonnes);2019;0.4
86: Human health activities;N2O - Nitrous oxide (tonnes);2019;0.0
86: Human health activities;PFC - Perfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;0.0
86: Human health activities;HFC - Hydrogenfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;12.3
86: Human health activities;SF6 - Sulphur hexaflouride (thousands of tonnes of equivalent CO2);2019;0.0
86: Human health activities;PM2.5 - Particles with a diameter of  2.5 µm or less (tonnes);2019;0.1
86: Human health activities;PM10 - Particles with a diameter of 10 µm or less (tonnes);2019;0.0
86: Human health activities;NOx - Nitrogen oxides (tonnes of equivalent NO2);2019;462,531.6
86: Human health activities;SOx - Sulphur oxides (tonnes of equivalent SO2);2019;7,969.7
86: Human health activities;NH3 - Ammonia (tonnes);2019;470,501.3
86: Human health activities;CO - Carbon monoxide (tonnes);2019;641,184.5
86: Human health activities;NMVOC - Non-metallic volatile organic compounds (tonnes);2019;4,370.0
87-88: Social work activities;CO2 - Carbon dioxide (thousands tonnes);2019;3,894.2
87-88: Social work activities;CH4 - Methane (tonnes);2019;2,038.2
87-88: Social work activities;N2O - Nitrous oxide (tonnes);2019;4,807.2
87-88: Social work activities;PFC - Perfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;400.9
87-88: Social work activities;HFC - Hydrogenfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;845.4
87-88: Social work activities;SF6 - Sulphur hexaflouride (thousands of tonnes of equivalent CO2);2019;11,898.2
87-88: Social work activities;PM2.5 - Particles with a diameter of  2.5 µm or less (tonnes);2019;150.1
87-88: Social work activities;PM10 - Particles with a diameter of 10 µm or less (tonnes);2019;11,671.0
87-88: Social work activities;NOx - Nitrogen oxides (tonnes of equivalent NO2);2019;11,172.0
87-88: Social work activities;SOx - Sulphur oxides (tonnes of equivalent SO2);2019;146.8
87-88: Social work activities;NH3 - Ammonia (tonnes);2019;350.8
87-88: Social work activities;CO - Carbon monoxide (tonnes);2019;58,153.6
87-88: Social work activities;NMVOC - Non-metallic volatile organic compounds (tonnes);2019;231,108.7
90-92: Creative, arts and entertainment activities Libraries, archives, museums and other cultural activities Gambling and betting activities;CO2 - Carbon dioxide (thousands tonnes);2019;3,429.3
90-92: Creative, arts and entertainment activities Libraries, archives, museums and other cultural activities Gambling and betting activities;CH4 - Methane (tonnes);2019;24.9
90-92: Creative, arts and entertainment activities Libraries, archives, museums and other cultural activities Gambling and betting activities;N2O - Nitrous oxide (tonnes);2019;167.2
90-92: Creative, arts and entertainment activities Libraries, archives, museums and other cultural activities Gambling and betting activities;PFC - Perfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;273.5
90-92: Creative, arts and entertainment activities Libraries, archives, museums and other cultural activities Gambling and betting activities;HFC - Hydrogenfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;380.8
90-92: Creative, arts and entertainment activities Libraries, archives, museums and other cultural activities Gambling and betting activities;SF6 - Sulphur hexaflouride (thousands of tonnes of equivalent CO2);2019;161.7
90-92: Creative, arts and entertainment activities Libraries, archives, museums and other cultural activities Gambling and betting activities;PM2.5 - Particles with a diameter of  2.5 µm or less (tonnes);2019;81.1
90-92: Creative, arts and entertainment activities Libraries, archives, museums and other cultural activities Gambling and betting activities;PM10 - Particles with a diameter of 10 µm or less (tonnes);2019;122.6
90-92: Creative, arts and entertainment activities Libraries, archives, museums and other cultural activities Gambling and betting activities;NOx - Nitrogen oxides (tonnes of equivalent NO2);2019;27,521.5
90-92: Creative, arts and entertainment activities Libraries, archives, museums and other cultural activities Gambling and betting activities;SOx - Sulphur oxides (tonnes of equivalent SO2);2019;73.3
90-92: Creative, arts and entertainment activities Libraries, archives, museums and other cultural activities Gambling and betting activities;NH3 - Ammonia (tonnes);2019;1,381.6
90-92: Creative, arts and entertainment activities Libraries, archives, museums and other cultural activities Gambling and betting activities;CO - Carbon monoxide (tonnes);2019;2,582.4
90-92: Creative, arts and entertainment activities Libraries, archives, museums and other cultural activities Gambling and betting activities;NMVOC - Non-metallic volatile organic compounds (tonnes);2019;4,627.7
93: Sports activities and amusement and recreation activities;CO2 - Carbon dioxide (thousands tonnes);2019;2,663.7
93: Sports activities and amusement and recreation activities;CH4 - Methane (tonnes);2019;1,140.5
93: Sports activities and amusement and recreation activities;N2O - Nitrous oxide (tonnes);2019;38,797.5
93: Sports activities and amusement and recreation activities;PFC - Perfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;7,841.4
93: Sports activities and amusement and recreation activities;HFC - Hydrogenfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;18,262.4
93: Sports activities and amusement and recreation activities;SF6 - Sulphur hexaflouride (thousands of tonnes of equivalent CO2);2019;2,029.6
93: Sports activities and amusement and recreation activities;PM2.5 - Particles with a diameter of  2.5 µm or less (tonnes);2019;242.1
93: Sports activities and amusement and recreation activities;PM10 - Particles with a diameter of 10 µm or less (tonnes);2019;3,883.0
93: Sports activities and amusement and recreation activities;NOx - Nitrogen oxides (tonnes of equivalent NO2);2019;1,934.1
93: Sports activities and amusement and recreation activities;SOx - Sulphur oxides (tonnes of equivalent SO2);2019;207.5
93: Sports activities and amusement and recreation activities;NH3 - Ammonia (tonnes);2019;2,190.5
93: Sports activities and amusement and recreation activities;CO - Carbon monoxide (tonnes);2019;115.7
93: Sports activities and amusement and recreation activities;NMVOC - Non-metallic volatile organic compounds (tonnes);2019;266.3
94: Activities of membership organisations;CO2 - Carbon dioxide (thousands tonnes);2019;66.3
94: Activities of membership organisations;CH4 - Methane (tonnes);2019;80.2
94: Activities of membership organisations;N2O - Nitrous oxide (tonnes);2019;297.9
94: Activities of membership organisations;PFC - Perfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;173.8
94: Activities of membership organisations;HFC - Hydrogenfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;740.1
94: Activities of membership organisations;SF6 - Sulphur hexaflouride (thousands of tonnes of equivalent CO2);2019;87.3
94: Activities of membership organisations;PM2.5 - Particles with a diameter of  2.5 µm or less (tonnes);2019;118.8
94: Activities of membership organisations;PM10 - Particles with a diameter of 10 µm or less (tonnes);2019;112.9
94: Activities of membership organisations;NOx - Nitrogen oxides (tonnes of equivalent NO2);2019;1,174.9
94: Activities of membership organisations;SOx - Sulphur oxides (tonnes of equivalent SO2);2019;18.3
94: Activities of membership organisations;NH3 - Ammonia (tonnes);2019;86.5
94: Activities of membership organisations;CO - Carbon monoxide (tonnes);2019;532.2
94: Activities of membership organisations;NMVOC - Non-metallic volatile organic compounds (tonnes);2019;10,371.1
95: Repair of computers and personal and household goods;CO2 - Carbon dioxide (thousands tonnes);2019;1,009.0
95: Repair of computers and personal and household goods;CH4 - Methane (tonnes);2019;946.8
95: Repair of computers and personal and household goods;N2O - Nitrous oxide (tonnes);2019;356.9
95: Repair of computers and personal and household goods;PFC - Perfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;504.6
95: Repair of computers and personal and household goods;HFC - Hydrogenfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;428.0
95: Repair of computers and personal and household goods;SF6 - Sulphur hexaflouride (thousands of tonnes of equivalent CO2);2019;3,162.5
95: Repair of computers and personal and household goods;PM2.5 - Particles with a diameter of  2.5 µm or less (tonnes);2019;116.8
95: Repair of computers and personal and household goods;PM10 - Particles with a diameter of 10 µm or less (tonnes);2019;523.4
95: Repair of computers and personal and household goods;NOx - Nitrogen oxides (tonnes of equivalent NO2);2019;0.0
95: Repair of computers and personal and household goods;SOx - Sulphur oxides (tonnes of equivalent SO2);2019;1,123,502.0
95: Repair of computers and personal and household goods;NH3 - Ammonia (tonnes);2019;509,821.2
95: Repair of computers and personal and household goods;CO - Carbon monoxide (tonnes);2019;1,633,323.2
95: Repair of computers and personal and household goods;NMVOC - Non-metallic volatile organic compounds (tonnes);2019;179,067.3
96: Other personal service activities;CO2 - Carbon dioxide (thousands tonnes);2019;727.8
96: Other personal service activities;CH4 - Methane (tonnes);2019;1,458.5
96: Other personal service activities;N2O - Nitrous oxide (tonnes);2019;1,815.9
96: Other personal service activities;PFC - Perfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;37,902.2
96: Other personal service activities;HFC - Hydrogenfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;2,044.1
96: Other personal service activities;SF6 - Sulphur hexaflouride (thousands of tonnes of equivalent CO2);2019;8,717.0
96: Other personal service activities;PM2.5 - Particles with a diameter of  2.5 µm or less (tonnes);2019;7,971.1
96: Other personal service activities;PM10 - Particles with a diameter of 10 µm or less (tonnes);2019;13,891.0
96: Other personal service activities;NOx - Nitrogen oxides (tonnes of equivalent NO2);2019;20,685.2
96: Other personal service activities;SOx - Sulphur oxides (tonnes of equivalent SO2);2019;23,828.8
96: Other personal service activities;NH3 - Ammonia (tonnes);2019;6,415.1
96: Other personal service activities;CO - Carbon monoxide (tonnes);2019;49,052.8
96: Other personal service activities;NMVOC - Non-metallic volatile organic compounds (tonnes);2019;3,562.1
97-98: Activities of households as employers undifferentiated goods- and services-producing activities of households for own use;CO2 - Carbon dioxide (thousands tonnes);2019;24,430.0
97-98: Activities of households as employers undifferentiated goods- and services-producing activities of households for own use;CH4 - Methane (tonnes);2019;3,319.1
97-98: Activities of households as employers undifferentiated goods- and services-producing activities of households for own use;N2O - Nitrous oxide (tonnes);2019;1,402.1
97-98: Activities of households as employers undifferentiated goods- and services-producing activities of households for own use;PFC - Perfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;3,818.0
97-98: Activities of households as employers undifferentiated goods- and services-producing activities of households for own use;HFC - Hydrogenfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;6,054.4
97-98: Activities of households as employers undifferentiated goods- and services-producing activities of households for own use;SF6 - Sulphur hexaflouride (thousands of tonnes of equivalent CO2);2019;17,220.3
97-98: Activities of households as employers undifferentiated goods- and services-producing activities of households for own use;PM2.5 - Particles with a diameter of  2.5 µm or less (tonnes);2019;5,308.2
97-98: Activities of households as employers undifferentiated goods- and services-producing activities of households for own use;PM10 - Particles with a diameter of 10 µm or less (tonnes);2019;3,625.2
97-98: Activities of households as employers undifferentiated goods- and services-producing activities of households for own use;NOx - Nitrogen oxides (tonnes of equivalent NO2);2019;195.1
97-98: Activities of households as employers undifferentiated goods- and services-producing activities of households for own use;SOx - Sulphur oxides (tonnes of equivalent SO2);2019;6,832.6
97-98: Activities of households as employers undifferentiated goods- and services-producing activities of households for own use;NH3 - Ammonia (tonnes);2019;11.6
97-98: Activities of households as employers undifferentiated goods- and services-producing activities of households for own use;CO - Carbon monoxide (tonnes);2019;7,189.9
97-98: Activities of households as employers undifferentiated goods- and services-producing activities of households for own use;NMVOC - Non-metallic volatile organic compounds (tonnes);2019;16,980.4
Total branches of activity;CO2 - Carbon dioxide (thousands tonnes);2019;5,728.1
Total branches of activity;CH4 - Methane (tonnes);2019;820.5
Total branches of activity;N2O - Nitrous oxide (tonnes);2019;3,898.4
Total branches of activity;PFC - Perfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;3,881.6
Total branches of activity;HFC - Hydrogenfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;2,876.1
Total branches of activity;SF6 - Sulphur hexaflouride (thousands of tonnes of equivalent CO2);2019;1,803.0
Total branches of activity;PM2.5 - Particles with a diameter of  2.5 µm or less (tonnes);2019;510.9
Total branches of activity;PM10 - Particles with a diameter of 10 µm or less (tonnes);2019;80.7
Total branches of activity;NOx - Nitrogen oxides (tonnes of equivalent NO2);2019;1,191.4
Total branches of activity;SOx - Sulphur oxides (tonnes of equivalent SO2);2019;704.8
Total branches of activity;NH3 - Ammonia (tonnes);2019;67.7
Total branches of activity;CO - Carbon monoxide (tonnes);2019;791.2
Total branches of activity;NMVOC - Non-metallic volatile organic compounds (tonnes);2019;33.9
